date	de_price_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_op1_exim	de_op2_exim	de_p_exim
08/06/12	2.237446378	10.80500469	8.825183707	8.493918381	9.366353049	-1.969012936	-2.440130524	-1.483933419	1.06825	0.402	1.332416667
09/06/12	2.015852483	10.69187957	9.04366581	8.659817988	9.563194505	-1.663958314	-2.125989483	-1.175376641	-0.715875	-0.81025	0.850333333
10/06/12	2.288674267	10.61923878	8.173156265	8.442376385	9.00994621	-2.40405735	-2.242440396	-1.626840235	1.446375	0.058	0.8965
11/06/12	2.601199567	10.91296044	7.266330541	8.341531856	8.635118254	-3.622276522	-2.721232297	-2.380380144	-0.717	1.49275	1.571333333
12/06/12	2.280118934	10.9326463	7.656634938	8.439442934	8.815905241	-3.250844912	-2.628810733	-2.199075037	-0.6355	0.15825	-0.053833333
13/06/12	2.392699218	10.91995916	8.173734691	8.256854524	8.909305153	-2.737105027	-2.800297762	-2.075055132	-0.611125	1.12275	0.418083333
14/06/12	2.232450305	10.9270627	7.364973881	8.620197972	8.870966007	-3.507291914	-2.439003628	-2.143653913	0.202875	-0.8075	-0.239
15/06/12	2.06880172	10.91647765	7.990955521	8.671386977	9.081108651	-2.930590069	-2.386544216	-1.928869209	-0.6705	1.35475	1.673583333
16/06/12	1.855746199	10.74846934	8.626423385	8.704403577	9.359320583	-2.129942633	-2.151813931	-1.447671308	-0.87975	-0.559	0.244916667
17/06/12	2.453821679	10.61002078	8.637479757	8.743213767	9.384890752	-1.957755913	-1.942237679	-1.256819514	-1.095125	-0.70325	0.503083333
18/06/12	2.321157675	10.88961447	8.262655718	8.747602086	9.227389088	-2.649106528	-2.301585644	-1.76717792	-0.43425	1.76975	1.850583333
19/06/12	2.304700735	10.94334898	7.303343156	8.684666586	8.908806302	-3.512595325	-2.402325618	-2.117545185	0.616875	0.89775	0.635416667
20/06/12	2.353433851	10.94650638	7.90572461	8.124856835	8.714428299	-3.022377406	-2.959808607	-2.297456549	-0.51975	0.28825	-0.415833333
21/06/12	2.21754969	10.94905208	7.959136042	8.484118281	8.948836637	-2.971080785	-2.600755147	-2.075725221	0.08825	0.9925	1.078916667
22/06/12	2.122865503	10.89654255	8.829380542	8.767579402	9.492104499	-2.09708046	-2.260872912	-1.482479752	-0.131875	0.2735	1.724666667
