BEGINN_DATUM;BEGINN_UHRZEIT;ZEITZONE_VON;ENDE_DATUM;ENDE_UHRZEIT;ZEITZONE_BIS;GRUND_DER_MASSNAHME;RICHTUNG;MITTLERE_LEISTUNG_MW;MAXIMALE_LEISTUNG_MW;GESAMTE_ARBEIT_MWH;ANWEISENDER_UENB;ANFORDERNDER_UENB;BETROFFENE_ANLAGE;PRIMAERENERGIEART
23.12.2014;23:00;UTC;24.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;882;882;21168;50Hertz;50Hertz & TenneT DE;Lippendorf;Konventionell
24.12.2014;05:30;UTC;24.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;399;435;6976;TenneT DE;50Hertz & TenneT DE;Zolling 5;Konventionell
24.12.2014;06:00;UTC;24.12.2014;11:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;330;330;1650;TransnetBW;TenneT DE;Rheinhafen-Dampfkraftwerk Karlsruhe;Konventionell
24.12.2014;07:00;UTC;24.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;572;740;9145;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn;Konventionell
24.12.2014;07:00;UTC;24.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;1397;2150;22350;50Hertz;50Hertz & TenneT DE;Boxberg, Jänschwalde, Schkopau, Schwarze Pumpe;Konventionell
24.12.2014;07:00;UTC;24.12.2014;10:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;220;300;660;50Hertz;50Hertz & PSE;Boxberg;Konventionell
24.12.2014;08:00;UTC;24.12.2014;23:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;224;300;3360;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau ;Konventionell
24.12.2014;15:00;UTC;24.12.2014;19:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;425;675;1700;TransnetBW;TenneT DE;Vorarlberger Illwerke AG;Sonstiges
24.12.2014;23:00;UTC;24.12.2014;23:30;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;210;210;105;TransnetBW;TenneT DE;Heizkraftwerk Heilbronn;Konventionell
24.12.2014;23:00;UTC;25.12.2014;00:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;180;180;180;TransnetBW;TenneT DE;Heizkraftwerk Altbach/Deizisau ;Konventionell
24.12.2014;23:00;UTC;25.12.2014;00:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;150;150;150;50Hertz;50Hertz & TenneT DE;Boxberg, Jänschwalde, Lippendorf, Schwarze Pumpe;Konventionell
24.12.2014;23:00;UTC;25.12.2014;00:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;400;400;400;50Hertz;50Hertz & TenneT DE;Boxberg, Jänschwalde, Schwarze Pumpe;Konventionell
24.12.2014;23:00;UTC;25.12.2014;13:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung reduzieren;882;882;12348;50Hertz;50Hertz & TenneT DE;Lippendorf;Konventionell
24.12.2014;23:00;UTC;25.12.2014;22:00;UTC;Strombedingter Redispatch;Wirkleistungseinspeisung erhöhen;130;370;2998;TenneT DE;50Hertz & TenneT DE;Zolling 5;Konventionell
