week	de_price_vol	de_load_vol	de_wind_vol	de_solar_vol	de_res_vol	de_wind_pen_vol	de_solar_pen_vol	de_res_pen_vol	de_exim_vol	de_load	de_wind	de_solar	de_res	de_wind_pen	de_solar_pen	de_res_pen	de_exim
61	1.942982193	8.452712781	7.098283393	6.334704288	7.280762279	-3.661479557	-4.461134575	-3.406673991	5.570816195	10.94986155	8.361572877	7.29893414	8.658370384	-2.552466817	-3.692540303	-2.274990002	2.731208333
62	2.304281282	8.318018017	8.086760816	6.943200586	7.774314159	-2.734345775	-4.255170018	-2.941107042	5.728850896	10.94479173	8.836839475	7.998591889	9.196238112	-2.065827164	-3.052279549	-1.748903881	2.527589286
63	2.675011796	8.464286848	8.425158734	6.640836406	8.510909517	-2.332906115	-4.155064538	-2.226978755	6.041867084	10.95836728	8.795041445	7.750211642	9.096442738	-2.088882353	-3.265012712	-1.82002376	2.625833333
64	2.653903038	8.132933668	8.447602921	6.677725355	8.477775085	-2.391340731	-4.236048156	-2.335451993	6.334863815	10.96217712	9.079621639	7.925801748	9.353784912	-1.840924032	-3.111014903	-1.593434384	2.375285714
65	1.752032867	8.481701251	8.469749124	6.648750548	8.537013256	-2.552238293	-4.560457459	-2.543857478	6.21576244	10.9197767	8.755284701	8.193688256	9.20655004	-2.206836335	-2.810750706	-1.770733665	2.534279762
66	2.149866356	8.295036992	7.615838344	7.070396333	7.939317593	-3.428173354	-3.951854014	-3.187103111	5.004909529	10.89169421	8.400919093	8.456192981	9.122085069	-2.508523749	-2.507853108	-1.815041192	2.840494048
67	2.737790976	8.494511939	7.592980065	6.951571211	7.731333285	-3.196338144	-3.739118748	-2.92332012	6.291631881	10.90912178	8.652271054	8.123656557	9.115640884	-2.227464452	-2.832873713	-1.791889894	1.539083333
68	2.157277545	8.238412111	8.092781546	6.735368039	8.138679779	-2.890254633	-4.099282412	-2.859320754	6.456815065	10.90792837	8.704725218	8.479948305	9.291786273	-2.190034382	-2.513757797	-1.645706106	0.788345238
69	1.723411272	8.351147621	7.554289187	6.960663204	7.623570364	-3.423587836	-4.192011992	-3.516484022	6.790318143	10.87418936	8.294701355	8.402977866	9.043451551	-2.568589559	-2.564136706	-1.873213473	0.634095238
70	2.131406586	8.579919146	7.45921801	6.815256386	7.264837898	-3.595145164	-3.538308549	-3.605221383	6.889070064	10.83924274	8.25482039	8.503295927	9.079903079	-2.59181201	-2.382132618	-1.78833949	0.485678571
71	2.224734238	8.231552232	6.98814707	6.687025806	6.985234427	-3.676379738	-4.146094398	-3.450922598	6.593401421	10.82132423	8.369044754	8.465835158	9.111757727	-2.430905188	-2.440024348	-1.742307193	-0.936345238
72	2.038835244	8.588845043	7.090622285	7.158256699	7.261873704	-4.170163381	-3.49400079	-3.658030515	6.778939002	10.8488816	8.575673858	8.537200029	9.249769142	-2.272446898	-2.381281068	-1.632236923	0.060482143
73	2.195785033	8.537857709	8.044390807	7.108772948	7.64259242	-2.786603937	-3.856583727	-3.158327717	6.665410069	10.81111768	8.631965472	8.370212861	9.202776313	-2.156468366	-2.536789372	-1.635509109	0.285208333
74	2.503135203	8.358767079	8.331352609	7.118967682	8.250256114	-2.319903711	-3.859560033	-2.30943608	6.894341238	10.81631527	8.780909755	8.319058826	9.269561096	-1.967109355	-2.588994527	-1.537321605	0.377261905
75	2.067460174	8.197636078	7.928979057	6.921691687	7.573005933	-2.959331457	-3.902912087	-3.388368984	6.120216045	10.82732249	8.145501889	8.785698929	9.209127416	-2.667037492	-2.133385726	-1.671880959	-1.013636905
76	2.491261491	8.291042087	7.741103772	6.618831182	7.865578172	-3.046822284	-3.768627796	-2.777370301	6.204280271	10.84152125	8.442707892	8.780821108	9.319134194	-2.365460908	-2.146763955	-1.556998583	-0.389565476
77	2.270216504	8.442347925	7.850160721	7.077233722	7.491285723	-2.923990957	-4.37879831	-3.115881051	6.605492103	10.86194771	8.520922953	8.853367216	9.394044011	-2.287460813	-2.114327934	-1.504004989	-0.010315476
78	1.861323599	8.577648377	7.715887257	6.925192377	7.943804867	-3.281477076	-3.776653892	-3.00138909	6.712174053	10.86098786	8.602221133	8.494740481	9.243071305	-2.249095061	-2.450592085	-1.651629824	0.206160714
79	2.024224588	8.59385189	7.205127842	7.373434096	7.289018704	-3.805446357	-3.260040027	-3.323174281	6.859934532	10.85081265	7.854457212	8.750429124	9.092748988	-2.989514848	-2.161580798	-1.799057239	-0.274488095
80	1.66269266	8.180947671	6.949281706	6.071747601	6.852246339	-3.850947776	-4.683173845	-3.729362568	6.407172983	10.85306061	7.94213866	8.947259913	9.25914686	-2.881413015	-1.99818605	-1.652154946	-0.007702381
81	1.910561312	8.425152379	6.850032755	6.703675346	7.125017458	-4.011890121	-4.863899992	-3.871365145	6.337496423	10.84076205	7.705467007	8.918111893	9.178481572	-3.092295414	-2.01762229	-1.723901486	-0.501321429
82	2.252300424	8.399742171	7.070479373	6.585158287	7.13133404	-3.520894736	-3.961164298	-3.155203729	6.349594173	10.83397419	7.588662906	8.89066103	9.131241891	-3.139744769	-2.036116704	-1.749686219	0.176922619
83	1.589227747	8.436386327	7.651797127	7.034189328	7.757060515	-3.312044403	-3.73447214	-3.267808937	6.1911227	10.84886899	8.164530206	8.793155511	9.220593736	-2.692998597	-2.142022558	-1.686887064	-0.00535119
84	2.071559482	8.479258843	6.793578044	6.927315154	6.957279814	-3.802606605	-3.800739703	-3.356705909	6.169651717	10.81768657	8.061195928	8.630901524	9.079229395	-2.712322402	-2.273834879	-1.776087657	-1.205065476
85	1.486506724	8.235832801	7.229897206	6.692957342	6.713462531	-3.507917531	-4.250542954	-3.893495481	6.595063964	10.78675037	8.217426087	8.741301691	9.206431513	-2.552710983	-2.139621468	-1.631838635	-0.918184524
86	2.258468879	8.228021022	7.548102323	7.071353876	7.429026853	-3.055061822	-3.915966824	-3.016028766	6.060119654	10.79880135	8.063808958	8.578828014	9.047261167	-2.652699071	-2.323332448	-1.781369137	-0.399142857
87	2.226028179	8.19517291	7.431734262	6.803733114	7.319149752	-3.322043082	-4.372671438	-3.433568425	6.478872253	10.81400463	8.005572778	8.432777903	8.934964152	-2.767788127	-2.489640289	-1.925927265	0.517553571
88	2.06469032	8.140697585	8.091783333	7.134325382	7.964596032	-2.807667356	-3.819215945	-2.981016236	6.608657163	10.82959164	8.519339505	8.519037074	9.212335482	-2.292560215	-2.409328112	-1.656093607	0.616708333
89	2.084127535	8.487371361	7.025861264	6.161857491	7.000930827	-3.738897673	-5.033283731	-3.758183476	6.631879851	10.83739423	8.098316477	7.986343902	8.737043784	-2.709811428	-2.950840822	-2.129934559	0.110113095
90	2.050477992	8.486087755	7.702532464	6.845916357	7.775269123	-3.251421331	-3.901466486	-3.198053832	6.121434862	10.83266149	8.626474155	7.959881092	9.040869212	-2.205613191	-2.940745206	-1.813948093	0.808107143
91	2.499467391	8.402795999	7.946843305	6.772968325	8.039243825	-2.759819422	-3.726606538	-2.574561164	5.859875545	10.8283218	8.25407526	8.300389966	8.970647901	-2.515707526	-2.590907769	-1.859453749	1.231827381
92	1.717775008	8.309185061	8.135839424	7.356142053	8.473418314	-2.599359622	-3.51772719	-2.297241444	5.961551484	10.8035457	8.842316368	8.233730973	9.276770563	-1.938379713	-2.662542254	-1.543146546	1.536160714
93	2.214506734	8.336050653	7.87602884	6.564055453	7.708572586	-3.030651056	-4.072370712	-3.115719296	6.866475735	10.82754034	8.325522654	7.687467996	8.749691215	-2.482868195	-3.196338131	-2.084131552	1.446625
94	2.246989603	8.308918966	8.118052288	6.610284366	8.110786873	-2.802272978	-4.266611291	-2.795654055	6.032296961	10.87537854	8.757577417	7.692298998	9.053697704	-2.089124262	-3.270039346	-1.821391602	1.746238095
95	2.307830176	8.307095503	8.223526073	6.32768959	8.125947487	-2.48878818	-4.739546174	-2.52848428	6.519550706	10.88844961	9.123362855	7.722842029	9.343677259	-1.722886397	-3.260887153	-1.528298604	0.927821667
96	2.191236749	8.354089196	8.580834825	6.789865858	8.544937905	-2.32017244	-4.366118152	-2.370085366	6.971064874	10.89204656	9.46253303	7.441812169	9.587013476	-1.416922446	-3.577328723	-1.307818497	0.910363095
97	2.009022779	8.358964835	8.298732873	5.758628789	8.290732545	-2.642878681	-5.291161313	-2.651414115	5.943606553	10.90520319	9.276151403	7.004449052	9.37430885	-1.6188192	-3.996603172	-1.530116346	1.064357143
98	1.686482034	8.357810693	7.258435344	5.349762169	7.323110266	-3.759773857	-5.804649646	-3.738514506	6.549723646	10.93675306	8.224351809	7.152075606	8.518683212	-2.698837936	-3.880454842	-2.43127008	2.242244048
99	2.010994745	8.482679207	7.364451608	5.638007285	7.32066981	-3.315053498	-5.513442873	-3.314487168	5.218671817	10.94770745	8.34631837	6.804554928	8.540241852	-2.554551535	-4.243977376	-2.385124846	2.777107143
100	2.084302153	8.063382887	7.939015102	6.414493608	7.777021033	-3.059933176	-4.715889015	-3.222791765	5.855878969	10.94889924	8.972140628	6.985227515	9.100637655	-1.960419223	-4.073417635	-1.846309602	2.477267857
101	2.378018045	8.394452907	8.908885723	6.088298538	8.871787292	-2.098282895	-5.103658593	-2.134530378	6.358635448	10.99234357	9.405818561	7.014987346	9.493420519	-1.570800207	-4.08196339	-1.492752937	2.025613095
102	2.718858716	8.513620203	8.45898483	5.478959356	8.418673307	-2.390586841	-5.406373838	-2.417241703	6.115827816	10.94679758	8.782603672	6.938933637	8.92950151	-2.09971872	-4.081914203	-1.970651641	2.104327381
103	2.700238672	8.492363904	8.428429221	6.24786186	8.388974828	-2.258684264	-4.911212615	-2.279021056	6.390444149	10.9476689	9.405959458	6.878758183	9.48281149	-1.493088444	-4.171730732	-1.426686373	1.650416667
104	2.468808384	8.05761296	8.747019104	5.974074898	8.796132777	-2.113939896	-5.000058946	-2.072722818	6.529184975	10.79199431	9.431329576	6.777171171	9.499322773	-1.362079891	-4.112017324	-1.300108543	0.52652381
105	1.952114525	8.185237876	7.956945784	5.97374998	8.04548536	-2.827897761	-4.839988973	-2.744392619	7.298609997	10.77647044	9.171223136	6.551466655	9.241514385	-1.585388677	-4.289152838	-1.520581739	0.39425
106	1.516442038	8.386404961	7.605588582	5.859794528	7.525783139	-3.749298376	-4.786528131	-3.75333486	6.11044176	10.91397648	9.553409804	7.134998629	9.638727508	-1.348366754	-3.835807521	-1.268518751	1.205678571
107	2.046499387	8.371293345	8.01342096	6.050882459	8.083717272	-2.751536854	-4.811728361	-2.667133864	6.579311059	10.97232441	8.790225333	6.932038749	8.935152336	-2.133544568	-4.090567946	-2.001395594	0.553803571
108	2.150876778	8.197143781	7.566007048	5.891790117	7.666507007	-3.217620027	-4.99990923	-3.117032617	7.007312039	10.95969229	8.648284986	6.62228152	8.772148571	-2.274193383	-4.394211549	-2.160838405	1.097232143
109	1.86150087	8.444600209	7.806157715	5.564998051	7.82671941	-3.089544355	-5.866077009	-3.086629581	6.294830082	10.95137186	9.094929427	7.184051573	9.232907563	-1.832702013	-3.851260645	-1.707968249	1.917047619
110	2.199599026	8.409977758	8.5961291	5.846009428	8.584630585	-2.277087649	-5.043663569	-2.260963612	6.899652992	10.98405154	9.450221002	7.563255556	9.591313312	-1.502721172	-3.498520788	-1.375291536	0.965815476
111	2.249470935	8.288339525	8.275444422	6.130966349	8.226544118	-2.495679827	-5.147110878	-2.518606712	6.199778399	10.9774862	9.491349862	7.59271149	9.630913884	-1.445898376	-3.480042409	-1.32297976	1.475845238
112	1.98374697	8.272731027	7.559748277	6.878387705	7.670194146	-3.250861001	-3.968439789	-3.029359701	6.671762898	10.95940191	8.79600095	7.926651646	9.146111368	-2.12966011	-3.09071497	-1.805774467	1.570708333
113	1.6099229	8.382609807	7.694631212	7.039816834	8.07647439	-3.371140913	-4.138929226	-3.038057336	5.890789986	10.95132907	8.547435232	8.19387042	9.079345298	-2.395756848	-2.844714944	-1.902102097	1.966327381
